STATE,avg_size
AK,2509.779198178
NV,531.720649917433
ID,372.890482342362
NM,170.234317760019
WY,169.523555287308
MT,154.03454068683
WA,142.697410258706
OR,137.71610414484
UT,133.927627632547
NE,121.334348162549
